SYMBOL,INDUSTRY,3D,5D,10D,15D,20D,50D,100D,150D
ABSLNN50ET,Unknown,0.63,1.68,2.31,0.48,-0.52,-0.98,6.73,3.71
ABSLPSE,Unknown,0.0,-0.81,0.21,-1.61,-4.03,-5.15,1.35,3.72
ACC,Cement & Cement Products,0.35,3.56,1.07,2.14,-5.13,-2.93,-4.32,-6.28
ACCELYA,Computers - Software & Consulting,2.31,2.29,2.22,1.19,0.74,-0.83,8.19,-6.64
ACCURACY,Logistics Solution Provider,1.66,5.45,5.15,-1.61,-4.05,-15.22,-10.48,-28.5
ACE,Construction Vehicles,4.33,6.18,-7.7,-12.27,-12.53,-20.63,-19.73,-28.67
ACEINTEG,Diversified Commercial Services,-0.96,-2.72,-1.7,-4.21,-10.11,-11.86,3.32,-18.54
ACI,Specialty Chemicals,2.07,-0.69,10.52,5.65,-1.22,8.68,26.81,6.9
ACL,Cement & Cement Products,11.45,14.37,14.06,5.66,5.82,5.03,24.73,-9.1
ACLGATI,Logistics Solution Provider,0.69,0.94,-1.99,-4.88,-9.51,-12.9,6.96,-25.69
ACMESOLAR,Power Generation,1.81,1.88,7.88,3.04,0.42,13.55,44.34,20.71
ACUTAAS,Pharmaceuticals,5.27,6.36,6.46,14.78,17.98,26.75,,
ADANIENSOL,Power Distribution,-0.44,3.67,3.04,-1.06,-5.56,-9.88,-0.62,8.47
ADANIENT,Trading - Minerals,1.87,4.26,3.34,-6.15,-9.08,-7.9,0.36,-4.06
ADANIGREEN,Power Generation,2.65,4.59,0.95,-4.27,-6.51,-7.66,1.44,-1.14
ADANIPORTS,Port & Port services,2.61,3.2,-0.39,-2.31,-4.15,-6.5,13.41,20.26
ADANIPOWER,Integrated Power Utilities,-0.43,1.81,5.07,1.1,1.23,1.56,13.79,19.74
ADFFOODS,Packaged Foods,1.93,1.16,1.3,-11.57,-15.66,-22.48,-9.81,-17.55
ADL,Plywood Boards/ Laminates,6.79,3.41,5.11,-1.9,-9.44,47.87,,
ADOR,Other Industrial Products,-0.09,-1.23,-6.94,-10.32,-15.98,-12.2,,
ADROITINFO,IT Enabled Services,0.46,0.46,2.43,0.55,-2.06,-4.03,-14.91,
ADSL,IT Enabled Services,-1.97,-2.88,-10.11,-3.07,-11.65,-18.92,-21.54,-28.8
ADVANIHOTR,Hotels & Resorts,6.72,11.36,9.68,6.43,3.7,0.63,3.54,-3.29
ADVENZYMES,Biotechnology,0.97,1.68,1.38,-10.47,-6.61,-6.21,5.47,-9.9
AEGISLOG,Trading - Gas,6.79,2.21,4.07,2.55,-1.63,-7.64,-6.08,-16.52
AEGISVOPAK,Oil Storage & Transportation,3.09,2.7,3.54,1.79,-9.45,0.1,,
AEROENTER,Iron & Steel Products,-4.06,-3.85,-7.62,-11.14,-14.27,,,
AEROFLEX,Iron & Steel Products,0.55,-1.15,1.13,-4.76,-14.85,5.98,0.07,-6.24
AETHER,Specialty Chemicals,2.48,2.3,1.62,0.15,-4.7,-3.58,-10.79,-14.8
AFCONS,Civil Construction,0.05,1.19,6.04,7.12,0.77,-4.46,-12.64,-17.07
AFFLE,IT Enabled Services,0.12,-2.33,-0.66,-2.32,3.1,0.81,24.3,17.79
AFFORDABLE,Industrial Products,-0.23,1.85,4.62,-3.72,-9.07,-13.43,-4.22,-37.74
AFIL,Non Banking Financial Company (NBFC),-1.15,-1.71,-0.43,-3.1,-7.03,-17.51,-90.51,-91.06
AFSL,Holding Company,0.78,0.5,0.76,-0.54,-0.74,-13.03,,
AGARIND,Petrochemicals,-1.33,-13.45,-15.0,-15.59,-15.22,-18.22,-23.5,-35.03
AGARWALEYE,Hospital,4.51,0.84,1.87,0.02,1.21,24.95,3.0,
AGI,Packaging,0.65,5.01,2.16,-0.95,-2.68,9.44,23.61,-8.33
AGIIL,"Residential, Commercial Projects",-2.31,5.45,8.29,8.11,10.71,27.68,25.35,-32.96
AGRITECH,Other Agricultural Products,2.79,1.11,2.25,-1.49,-6.31,-13.69,-4.14,-25.98
AHLADA,"Furniture, Home Furnishing",-0.67,-2.95,-8.79,-6.5,-10.06,-13.35,-7.67,-35.89
AHLEAST,Hotels & Resorts,-0.51,-0.66,5.93,-0.06,-3.68,7.98,15.37,4.16
AHLUCONT,Civil Construction,-1.33,-1.04,-2.41,-7.09,-11.63,0.13,14.25,1.43
AIAENG,Castings & Forgings,-0.12,-0.54,-2.35,-2.49,-7.12,-11.42,-7.6,-9.25
AIIL,Non Banking Financial Company (NBFC),-2.14,-2.81,0.12,2.29,0.51,14.48,83.78,56.88
AIRAN,IT Enabled Services,0.57,-2.43,-0.6,-1.74,-6.65,-13.28,-10.19,-23.37
AIROLAM,Plywood Boards/ Laminates,0.46,2.15,0.83,-0.75,-6.12,-11.93,11.36,-15.14
AJANTPHARM,Pharmaceuticals,-1.28,-0.57,4.53,-5.14,-2.28,0.37,-4.03,-9.5
AJAXENGG,Construction Vehicles,-2.17,-5.33,4.73,1.57,-1.19,10.38,15.88,
AJMERA,"Residential, Commercial Projects",1.22,2.0,0.19,1.92,2.5,-4.22,-2.56,-17.59
AJOONI,Animal Feed,2.96,0.97,-1.88,-6.13,-6.63,-7.95,-16.77,-34.22
AKASH,Civil Construction,6.53,4.39,1.77,-0.22,-1.15,-7.7,0.62,-17.29
AKG,Trading & Distributors,-1.1,-1.95,-1.64,-5.28,-3.31,-4.27,-6.27,-28.64
AKSHAR,Other Textile Products,0.0,4.08,-1.92,,,,,
AKSHARCHEM,Dyes And Pigments,1.18,1.31,6.84,-3.49,-6.7,7.1,25.02,-5.93
AKSHOPTFBR,Telecom -  Equipment & Accessories,-2.71,-1.25,-1.25,-3.42,-7.59,-27.96,,
AKUMS,Pharmaceuticals,1.54,-1.19,-1.08,-10.63,-10.93,-16.62,-1.88,-21.96
AKZOINDIA,Paints,-1.44,-0.96,-8.05,-10.99,-9.77,5.38,1.33,-9.0
ALANKIT,Diversified Commercial Services,1.03,-0.94,-1.54,-3.36,-6.38,-9.05,-5.29,-30.62
ALBERTDAVD,Pharmaceuticals,0.84,0.29,0.39,-9.33,-11.13,-5.09,-7.69,-37.61
ALEMBICLTD,"Residential, Commercial Projects",0.87,2.09,-1.49,-6.0,-9.53,-8.53,5.23,-15.2
ALICON,Auto Components & Equipments,4.97,3.2,2.47,-6.63,-11.1,-5.81,25.48,-14.63
ALIVUS,Pharmaceuticals,1.49,1.24,2.05,-7.62,-5.32,-5.43,-8.81,
ALKALI,Specialty Chemicals,1.72,2.33,-1.98,-2.93,-6.93,-12.13,-1.67,-19.21
ALKEM,Pharmaceuticals,1.42,0.62,11.31,6.32,8.98,10.98,7.31,-0.59
ALKYLAMINE,Specialty Chemicals,3.57,3.21,0.15,-4.45,-3.26,7.12,21.74,15.51
ALLCARGO,Logistics Solution Provider,2.93,1.29,-0.86,-0.61,-4.14,-6.46,11.63,-25.29
ALLDIGI,Business Process Outsourcing (BPO)/ Knowledge Process Outsourcing (KPO),-4.69,-6.83,-9.88,-8.22,-0.97,4.38,-1.37,-8.08
ALLTIME,Unknown,4.27,,,,,,,
ALMONDZ,Stockbroking & Allied,6.82,7.25,-0.09,-0.65,0.19,0.05,8.44,
ALOKINDS,Other Textile Products,1.61,2.64,-0.97,-6.21,-10.34,-15.17,9.39,-7.95
ALPA,Pharmaceuticals,-0.04,2.14,1.13,-4.96,-4.78,-2.42,-12.57,-23.29
ALPHA,Unknown,0.12,1.61,0.31,-2.05,-3.19,-3.97,6.74,-4.84
ALPHAETF,ETF,0.52,1.98,2.56,1.04,-1.25,-0.98,10.84,-0.08
ALPHAGEO,Offshore Support Solution Drilling,0.87,2.94,2.77,-8.57,-14.37,-14.18,-46.76,
ALPL30IETF,ETF,0.77,2.11,3.02,1.4,0.29,-0.54,6.32,-0.11
AMBER,Household Appliances,-1.43,5.57,-3.87,-8.81,0.27,10.45,4.72,-4.82
AMBICAAGAR,Household Products,-2.42,-1.73,-1.15,-2.74,-5.33,-8.33,-2.74,-12.95
AMBIKCO,Other Textile Products,5.37,6.82,1.18,-5.94,-5.74,-7.34,8.7,-4.36
AMBUJACEM,Cement & Cement Products,-0.22,1.36,-0.19,-4.71,-5.1,4.9,13.37,12.09
AMDIND,Packaging,-1.59,-0.95,-0.32,-1.99,-0.02,-1.63,-10.31,-17.43
AMJLAND,"Residential, Commercial Projects",-0.02,4.21,-2.61,-4.4,-9.67,-11.57,11.2,-8.77
AMNPLST,Commodity Chemicals,1.68,6.58,6.5,-0.42,-4.7,-9.98,-0.81,-25.44
AMRUTANJAN,Pharmaceuticals,0.34,3.9,7.18,7.24,2.84,1.79,12.06,0.3
ANANDRATHI,Financial Products Distributor,0.8,1.57,6.87,5.24,4.65,38.72,54.98,-28.71
ANANTRAJ,"Residential, Commercial Projects",1.72,2.94,1.76,-4.67,-1.78,-3.69,2.43,-38.93
ANDHRAPAP,Paper & Paper Products,1.0,0.41,-0.86,-3.74,-3.12,-6.49,3.83,-18.22
ANDHRSUGAR,Commodity Chemicals,1.42,-3.96,4.91,2.41,-4.17,3.35,13.04,-14.5
ANGELONE,Stockbroking & Allied,-4.84,-3.57,-2.8,-3.91,-10.19,-18.52,6.86,-3.35
ANIKINDS,Trading & Distributors,2.05,-0.13,-0.17,-2.19,-5.59,-22.72,,
ANMOL,Trading - Coal,7.08,4.59,10.05,5.58,1.22,-8.72,-0.54,-33.07
ANTGRAPHIC,Packaging,-0.88,0.89,-2.59,-0.88,-2.59,-25.17,3.67,-18.12
ANTHEM,Biotechnology,5.71,12.11,16.82,9.82,11.92,,,
ANUHPHR,Pharmaceuticals,5.82,4.25,-0.3,-7.31,-7.67,-57.44,-42.52,-57.25
ANUP,Industrial Products,-1.68,2.63,-5.84,-14.34,-15.88,-16.34,-31.5,-29.89
ANURAS,Specialty Chemicals,0.34,-1.16,-0.18,-1.34,-1.43,2.87,47.54,57.95
AONELIQUID,LIQUID,0.04,0.11,0.21,0.31,0.4,0.99,,
AONENIFTY,ETF,1.18,2.39,2.59,1.18,0.0,0.39,,
AONETOTAL,Unknown,0.95,1.74,1.74,0.17,-1.1,-0.76,7.94,
APARINDS,Other Electrical Equipment,-2.96,-5.98,-7.45,-14.93,-9.96,1.16,33.85,-21.77
APCOTEXIND,Rubber,-2.89,-1.59,-2.0,-6.47,0.79,4.51,24.57,6.09
APEX,Seafood,-5.02,-7.75,1.46,-4.77,-6.91,-6.18,-3.69,-7.77
APLAPOLLO,Iron & Steel Products,2.87,4.46,5.36,5.55,-1.55,-12.4,7.66,6.6
APLLTD,Pharmaceuticals,-0.39,2.67,2.07,-3.94,-5.07,-2.85,0.91,-8.23
APOLLO,Aerospace & Defense,4.74,10.02,13.49,19.58,13.56,6.82,63.65,58.55
APOLLOHOSP,Hospital,1.33,1.51,10.25,6.4,7.5,14.42,19.81,11.77
APOLLOPIPE,Plastic Products - Industrial,2.66,6.1,0.1,0.79,-4.8,-9.66,5.26,-7.43
APOLLOTYRE,Tyres & Rubber Products,0.05,4.51,6.8,1.01,1.47,0.49,7.33,-2.29
APOLSINHOT,Hotels & Resorts,-1.66,-3.29,6.38,-0.12,-1.07,6.81,10.31,-17.22
APTUS,Housing Finance Company,-1.15,2.96,2.69,6.09,1.41,9.59,16.63,23.41
ARCHIDPLY,Plywood Boards/ Laminates,-1.28,-1.5,-5.04,-13.06,-3.21,-7.37,12.6,-7.14
ARE&M,Unknown,3.43,3.38,6.44,1.07,-2.08,-2.52,-7.43,-10.12
ARFIN,Aluminium,-1.87,-4.14,-9.6,1.88,-4.0,,,
ARIES,Fertilizers,-7.71,5.94,-1.16,0.86,2.95,13.69,43.72,
ARIHANTCAP,Stockbroking & Allied,7.61,8.61,9.16,5.74,2.44,37.49,50.22,9.19
ARIHANTSUP,"Residential, Commercial Projects",-0.64,-1.72,-1.22,-4.39,-6.88,9.74,5.08,-21.39
ARISINFRA,Other Construction Materials,-0.07,-3.79,-2.84,-1.16,-2.12,,,
ARKADE,"Residential, Commercial Projects",-1.73,-2.45,5.6,-2.79,-10.41,-5.54,17.71,7.12
ARMANFIN,Non Banking Financial Company (NBFC),12.53,10.21,-1.64,-7.07,-10.81,-13.6,8.57,16.93
AROGRANITE,Granites & Marbles,0.78,-0.96,-12.47,-3.14,-7.88,-10.99,-7.71,-22.5
ARROWGREEN,Packaging,6.52,-3.65,-21.74,-25.12,-5.86,-23.93,,
ARTEMISMED,Hospital,-0.48,-0.79,-3.09,-0.07,-0.67,-9.08,-6.41,-28.37
ARVEE,Specialty Chemicals,-0.97,-4.2,-2.25,-5.93,-5.24,-9.45,10.42,1.97
ARVIND,Garments & Apparels,2.83,3.39,-2.44,-8.88,-10.43,-16.89,-10.36,-24.21
ARVINDFASN,Speciality Retail,-0.61,2.07,-1.34,-5.93,2.47,9.63,22.77,-2.21
ARVSMART,"Residential, Commercial Projects",6.29,6.31,4.1,2.73,2.01,-11.66,-12.26,-24.65
ASAHIINDIA,Auto Components & Equipments,-0.92,4.64,3.85,1.27,0.69,12.93,35.5,24.18
ASAHISONG,Dyes And Pigments,6.4,-31.56,-15.2,-9.82,-13.05,10.74,-17.88,
ASAL,Auto Components & Equipments,4.99,6.11,6.22,0.21,-15.62,-16.01,-4.67,-20.41
ASALCBR,Breweries & Distilleries,4.24,2.81,3.15,2.06,-5.72,-2.07,-24.54,-9.51
ASHAPURMIN,Industrial Minerals,-1.8,0.13,-2.5,-7.49,-11.65,27.03,35.22,6.16
ASHIANA,"Residential, Commercial Projects",3.37,1.05,-1.39,-2.27,-4.71,-12.5,3.63,-17.29
ASHIMASYN,Other Textile Products,3.87,8.8,-8.93,-11.07,16.36,31.66,,
ASHOKA,Civil Construction,2.65,2.6,-6.57,-10.35,-9.81,-15.87,-8.93,-33.93
ASHOKAMET,Trading - Metals,-1.48,-0.35,2.49,-7.05,1.35,-0.92,-0.75,
ASHOKLEY,Commercial Vehicles,-0.57,9.42,8.51,7.47,5.14,-45.41,-38.36,-38.89
ASIANENE,Oil Equipment & Services,-3.01,-3.72,-2.65,3.73,14.33,9.24,16.85,-15.19
ASIANHOTNR,Hotels & Resorts,0.29,-0.76,25.31,0.57,30.66,78.38,,
ASIANPAINT,Paints,-0.8,2.66,3.03,6.24,8.05,16.2,10.51,9.21
ASKAUTOLTD,Auto Components & Equipments,1.33,10.68,9.43,-0.44,-0.87,16.31,10.76,7.71
ASMS,IT Enabled Services,0.08,-2.77,2.35,-6.3,-8.73,-15.83,-18.12,-44.42
ASPINWALL,Logistics Solution Provider,-0.15,-0.11,0.35,-5.58,-10.29,-5.25,6.57,-14.57
ASTEC,Pesticides & Agrochemicals,2.74,2.37,-3.65,-5.22,-8.33,1.32,14.38,-26.18
ASTERDM,Hospital,-2.76,-0.95,1.69,2.45,1.47,6.3,39.28,17.86
ASTRAL,Plastic Products - Industrial,8.2,10.01,0.22,-0.65,-4.16,-6.83,8.06,-8.35
ASTRAMICRO,Aerospace & Defense,-1.43,-3.37,-0.3,2.27,0.07,-15.07,37.91,26.13
ASTRAZEN,Pharmaceuticals,-0.27,-0.29,-5.01,-10.15,-6.08,-15.83,-1.04,18.38
ASTRON,Paper & Paper Products,0.63,-0.48,3.14,-3.73,-6.9,13.52,-29.83,
ATAM,Industrial Products,3.93,6.49,5.94,-2.76,-7.96,-18.22,11.81,-24.12
ATGL,LPG/CNG/PNG/LNG Supplier,-0.9,1.43,4.92,-1.15,-5.24,-11.42,-1.14,-9.41
ATHERENERG,2/3 Wheelers,0.42,0.92,7.95,20.33,24.04,33.41,,
ATL,Port & Port services,1.27,-3.12,-7.47,-10.81,-14.9,-8.92,8.41,-20.76
ATLANTAA,Civil Construction,-2.0,-3.91,0.79,-3.22,-2.6,-10.75,,
ATUL,Specialty Chemicals,-0.38,-1.57,-4.72,-5.78,-5.23,-10.99,5.93,-8.28
ATULAUTO,Commercial Vehicles,2.09,5.06,1.32,-0.12,-0.45,-8.56,-5.65,-17.01
AUBANK,Other Bank,-1.23,1.92,2.31,0.79,2.1,-2.81,36.75,31.95
AURIONPRO,Computers - Software & Consulting,-4.23,-7.58,-6.63,-1.53,-6.07,-3.31,-9.64,-21.07
AUROPHARMA,Pharmaceuticals,-4.43,-3.45,-2.92,-10.1,-6.84,-10.34,-13.94,-16.61
AURUM,IT Enabled Services,-0.71,-0.46,-3.81,-10.01,-14.63,-16.87,0.33,-31.0
AUTOAXLES,Auto Components & Equipments,1.73,5.06,-0.69,-6.78,-2.97,-3.24,2.39,-3.47
AUTOBEES,ETF,0.94,5.12,6.68,6.72,5.58,6.97,16.35,9.46
AUTOIETF,ETF,1.05,4.96,6.85,6.81,5.51,6.9,16.25,9.41
AUTOIND,Auto Components & Equipments,3.39,4.62,3.54,-0.58,-4.52,-18.86,-0.51,-28.22
AVADHSUGAR,Sugar,5.06,4.81,5.82,-1.96,-3.31,-17.25,0.9,-7.7
AVALON,Other Electrical Equipment,-1.37,-3.18,-3.77,2.68,-3.53,0.05,6.76,-9.13
AVANTEL,Aerospace & Defense,6.84,6.32,12.35,7.79,-1.95,-14.36,17.08,-2.81
AVANTIFEED,Animal Feed,-2.21,-4.82,-3.19,-6.4,-13.81,-14.37,-30.57,4.25
AVG,Logistics Solution Provider,6.57,-1.78,-2.73,-3.62,-15.38,-20.79,-47.78,
AVL,Speciality Retail,6.44,16.43,22.2,30.73,30.62,30.01,19.64,2.76
AVONMORE,Non Banking Financial Company (NBFC),8.53,9.52,11.24,9.46,13.4,13.84,,
AVROIND,Plastic Products - Consumer,-3.32,1.27,-1.64,1.11,5.43,-8.31,0.16,
AVTNPL,Other Agricultural Products,1.31,-1.29,-0.22,-3.05,-3.64,8.62,25.83,0.68
AWFIS,Diversified Commercial Services,-1.17,-2.52,0.44,-2.96,-9.48,-13.91,-10.4,-22.41
AWHCL,Waste Management,1.69,-1.46,1.06,-0.77,-4.28,-5.96,16.83,0.89
AWL,Edible Oil,3.48,2.97,2.81,-2.82,-7.26,-5.8,-0.67,-19.62
AXISBANK,Private Sector Bank,-0.34,1.21,0.74,0.52,-2.34,-12.38,-1.73,1.62
AXISBNKETF,ETF,0.03,1.08,0.65,-0.73,-2.45,-0.89,8.46,13.44
AXISBPSETF,ETF,-0.08,0.16,0.08,0.47,0.23,1.02,3.38,4.48
AXISCETF,ETF,1.33,3.55,4.43,4.68,3.8,5.81,13.93,8.03
AXISGOLD,ETF,-0.36,-0.76,-1.06,0.05,-1.47,2.11,12.94,26.66
AXISHCETF,ETF,0.63,0.35,3.51,-1.63,0.75,3.36,5.25,0.3
AXISILVER,ETF,-0.87,-1.85,-0.12,-0.69,-2.58,6.39,15.73,25.2
AXISNIFTY,ETF,0.74,2.0,2.03,0.91,-0.46,0.25,6.81,7.49
AXISTECETF,ETF,3.25,2.99,3.78,0.56,-3.21,-7.6,-3.1,-15.69
AXISVALUE,Unknown,0.49,0.74,1.93,0.49,-1.79,-1.15,3.68,
AXITA,Other Textile Products,0.0,0.0,0.0,-1.68,-4.45,-2.76,-12.09,-19.85
AXSENSEX,Unknown,0.56,1.61,1.5,0.39,-0.79,-0.37,5.64,6.13
AYMSYNTEX,Other Textile Products,-2.1,-1.3,-5.85,-10.6,-14.27,-27.53,-9.79,-21.03
AZAD,Heavy Electrical Equipment,2.07,5.91,1.39,6.75,1.47,-2.95,9.39,-8.09
BAFNAPH,Pharmaceuticals,-13.38,0.04,19.7,13.01,11.59,,,
BAGFILMS,TV Broadcasting & Software Production,0.32,0.63,-2.61,-9.04,-9.56,0.63,-38.03,
BAIDFIN,Non Banking Financial Company (NBFC),3.84,0.76,2.5,-0.17,-8.95,-6.52,17.36,-13.14
BAJAJ-AUTO,Unknown,1.12,5.29,6.19,7.97,3.42,-0.4,6.88,-1.71
BAJAJCON,Personal Care,1.53,2.85,1.7,0.17,-5.56,25.64,37.65,17.33
BAJAJELEC,Household Appliances,2.78,4.01,-0.28,-5.45,-9.29,-11.87,-2.51,-22.47
BAJAJFINSV,Holding Company,-0.68,3.43,2.91,1.03,-3.91,-1.63,4.53,17.14
BAJAJHCARE,Pharmaceuticals,0.52,-2.75,-2.0,-10.28,-13.73,-14.6,-35.3,-18.11
BAJAJHFL,Housing Finance Company,-1.52,4.11,-0.25,-1.72,-7.57,-9.74,-7.09,-6.52
BAJAJHIND,Sugar,0.56,-3.08,-6.06,-10.2,-17.18,-16.6,2.25,-26.38
BAJAJHLDNG,Holding Company,-5.67,-1.56,0.68,-2.55,-1.95,-4.6,10.17,22.66
BAJAJINDEF,Industrial Products,4.44,-1.56,-12.53,-10.33,-16.92,-17.91,35.62,
BAJFINANCE,Non Banking Financial Company (NBFC),-1.06,4.14,2.16,1.21,-7.51,-90.5,-90.15,-87.69
BALAJEE,Packaging,5.06,-0.12,9.66,0.66,12.72,3.52,2.48,-23.54
BALAMINES,Specialty Chemicals,1.22,0.08,0.67,-9.53,-10.16,4.36,15.01,-18.18
BALAXI,Pharmaceuticals,-0.06,-1.64,0.63,0.02,-2.2,-12.0,-32.0,-36.03
BALKRISHNA,Paper & Paper Products,2.09,4.17,-0.34,-0.39,-3.03,-8.41,12.1,-16.71
BALKRISIND,Tyres & Rubber Products,-0.92,0.07,0.57,-12.51,-11.91,-3.29,-7.52,-13.14
BALMLAWRIE,Diversified,5.58,6.6,8.06,6.35,3.06,3.64,20.14,7.17
BALPHARMA,Pharmaceuticals,2.65,-0.35,-3.01,-6.41,-6.58,-14.73,0.71,
BALRAMCHIN,Sugar,4.7,6.6,6.61,-1.16,-3.65,-5.91,9.3,17.88
BANARBEADS,"Gems, Jewellery And Watches",3.33,7.26,-4.68,-8.71,-10.44,-15.22,-19.32,
BANARISUG,Sugar,0.32,0.34,0.34,-0.13,0.35,-7.23,-1.99,3.05
BANCOINDIA,Auto Components & Equipments,4.87,7.76,-3.81,-3.58,-9.5,-3.46,60.92,19.62
BANDHANBNK,Private Sector Bank,5.79,6.71,7.46,5.08,-2.54,-3.1,19.98,18.74
BANG,Garments & Apparels,-1.4,-2.07,-2.62,-5.49,-10.17,-13.83,-41.45,
BANKA,Civil Construction,6.75,3.68,5.91,8.65,0.34,25.26,11.31,0.13
BANKBARODA,Public Sector Bank,0.24,0.64,0.67,1.54,0.12,0.32,8.42,5.33
BANKBEES,ETF,0.14,1.01,0.86,-0.4,-2.02,-0.51,8.81,13.58
BANKBETF,ETF,0.18,1.05,1.0,-0.46,-2.23,-0.72,8.61,13.6
BANKETF,ETF,0.01,1.01,0.78,-0.44,-2.27,-0.63,8.78,13.27
BANKETFADD,ETF,0.09,1.1,0.83,-0.52,-2.05,-0.35,8.65,13.59
BANKIETF,ETF,0.12,0.99,0.81,-0.45,-1.97,-0.5,8.84,13.37
BANKINDIA,Public Sector Bank,0.95,2.1,3.8,1.59,2.4,-6.45,7.72,17.5
BANKNIFTY1,ETF,0.14,1.11,0.95,-0.61,-2.18,-0.68,8.66,13.4
BANKPSU,Unknown,0.61,0.91,2.76,2.54,0.61,-0.5,12.39,13.68
BANSALWIRE,Iron & Steel Products,1.4,0.63,-1.34,-8.12,-5.36,-5.61,-0.44,-14.95
BANSWRAS,Other Textile Products,0.86,-1.45,-6.02,-8.95,-7.43,-14.55,-0.8,-4.96
BARBEQUE,Restaurants,2.89,2.24,6.09,-10.4,-15.43,-19.64,-6.6,-35.8
BASF,Specialty Chemicals,0.99,-0.32,-1.07,-8.36,-9.76,-8.04,2.26,-12.98
BASML,Other Textile Products,3.78,1.07,4.21,-1.24,-4.79,-18.01,-6.16,-41.85
BATAINDIA,Footwear,-0.15,1.98,-6.25,-6.8,-7.19,-8.33,-9.53,-20.83
BAYERCROP,Pesticides & Agrochemicals,1.32,-1.03,-7.05,-11.69,-11.95,2.65,13.33,0.25
BBETF0432,ETF,-0.06,-0.16,-0.6,-0.18,-0.32,-0.29,4.07,5.39
BBL,Other Electrical Equipment,-1.1,-1.89,-2.81,-7.41,-8.6,-8.01,-7.83,-19.93
BBNPNBETF,ETF,-0.05,1.16,0.52,-0.64,-2.25,-0.8,7.87,13.13
BBNPPGOLD,ETF,-0.56,-0.72,-1.12,0.21,-1.32,2.16,13.2,26.83
BBTC,Packaged Foods,-0.73,-0.7,-0.01,-4.83,-7.0,-8.25,0.69,-11.19
BBTCL,Packaging,0.92,2.02,2.25,-0.15,15.06,24.89,46.16,3.49
BCG,IT Enabled Services,5.49,14.85,9.14,20.82,15.72,,,
BCLIND,Breweries & Distilleries,1.03,-0.98,-6.24,-8.0,-9.88,-5.6,5.73,-13.18
BCONCEPTS,Speciality Retail,-0.57,-5.11,-8.5,-9.85,-10.11,-16.82,-9.7,-37.05
BDL,Aerospace & Defense,-5.34,-4.47,-3.63,-6.2,-10.8,-19.77,11.79,26.32
BEARDSELL,Other Industrial Products,-1.14,-6.6,-7.24,-11.46,-5.46,-8.27,0.27,-27.06
